,Unnamed: 0,URL,Date,Tweet ID,Username,Tweet,Hashtag,Like Count
9792,13474.0,https://twitter.com/LangitB09013181/status/1567874117180989440,2022-09-08 13:54:53+00:00,1.56787e+18,LangitB09013181,"Demo !! Ditolak kenaikan BBM, tapi di SPBU antrian panjang tiada henti, penjual eceran juga laku dgn harga yg sdh naik, terus yg di demo apanya?? Kayaknya masyarakat tetap beli, lalulalang juga kendaraan, berjalan seperti biasa, Bingung juga aku...!!!",,0.0
9793,13475.0,https://twitter.com/SafruMuh/status/1567873631619002368,2022-09-08 13:52:58+00:00,1.56787e+18,SafruMuh,Mudah2an bukan disebabkan krn masyarakat yg mulai ngerem pengeluaran karena efek harga BBM yg naik lumayan. Pikiran positif saya karena seharian ini mendung gerimis bahkan matahari tak nampak. Jd bnyk org pada malas keluar rumah.,,0.0
9794,13476.0,https://twitter.com/sandysandiego76/status/1567873536194412550,2022-09-08 13:52:35+00:00,1.56787e+18,sandysandiego76,"Alasannya ""pada saat ada lonjakan kenaikan harga bahan baku (batu bara dan minyak mentah) naik, pemerintah tidak menaikkan tarif listrik dan BBM"".
Makanya kenaikannya saat ini.
Demikian alasan pemerintah.
https://t.co/l8e33xFFj3",,0.0
9795,13477.0,https://twitter.com/SupirPete2/status/1567873417176821762,2022-09-08 13:52:06+00:00,1.56787e+18,SupirPete2,"solusi bbm naik, “beralih ke mobil listrik”

belum liat harga mobil listrik yg 150jutaan 👀",,5.0
9796,13478.0,https://twitter.com/ketrend22/status/1567873341926801416,2022-09-08 13:51:49+00:00,1.56787e+18,ketrend22,"@catsedih @fluffyyboo Bbm naik, yg turun harga diri",,0.0
9797,13479.0,https://twitter.com/bambaeeeng/status/1567872805982838784,2022-09-08 13:49:41+00:00,1.56787e+18,bambaeeeng,"@PartaiSocmed Subsidi BBM ini kyk mainan politik. Selalu dijadikan beban utk menyandera yg berkuasa. Kalopun mau tetep ada subsidi, kenapa ga dibuat sistem aja ya. Misal simpelnya, subsidi fix sekian Rp berapapun harga minyak dll. Jd kalo naik, ya emg krna rumusnya. Bukan penguasa yg naikin.",,2.0
9798,13480.0,https://twitter.com/k_febr/status/1567871977788145664,2022-09-08 13:46:23+00:00,1.56787e+18,k_febr,@TirtoID Intinya tetep naik kan harga bbm?,,0.0
9799,13481.0,https://twitter.com/NoKu05889520/status/1567871968061566978,2022-09-08 13:46:21+00:00,1.56787e+18,NoKu05889520,@CNNIndonesia Lha matematika  gimana ya? Kok tolak harga bbm naik. jangan bilang itu pencitraan?,,0.0
9800,13482.0,https://twitter.com/_Rizmaya__/status/1567871668990910465,2022-09-08 13:45:10+00:00,1.56787e+18,_Rizmaya__,"Hellow pak Edy..
Siapapun orang yg dengar keluhan bapak pasti tak percaya.

Masa iya seorang Gubernur, beli Pertamax 14.500 saja berat? Tidak usah pencitraan Pak! Jabatannya Gubernur tetapi tidak paham kenapa harga bbm naik. Seolah bapak bukan bagian dari pemerintah. 🙈 https://t.co/9a4DLvjtkS",,511.0
9801,13483.0,https://twitter.com/bryanyudho/status/1567871536241192960,2022-09-08 13:44:38+00:00,1.56787e+18,bryanyudho,"BBM naik, harga minyak dunia turun, Gaji bumn naik 😌",,2.0
9802,13484.0,https://twitter.com/NarimoPakde/status/1567871129435668482,2022-09-08 13:43:01+00:00,1.56787e+18,NarimoPakde,@VIVAcoid Kere yang sangat bernafsu naik bale pada meradang dengan adanya kenaikan harga bbm.,,0.0
9803,13485.0,https://twitter.com/blackswan215_/status/1567870895989084161,2022-09-08 13:42:05+00:00,1.56787e+18,blackswan215_,"@ba_whang mau ngingetin aja:
harga BBM naik 🤣🤣",,1.0
9805,13487.0,https://twitter.com/hawtspicy/status/1567870410800394245,2022-09-08 13:40:10+00:00,1.56787e+18,hawtspicy,"@berrieman_ @Askrlfess Sebenernya ini wajar, Nis. BBM kan naik, jadi otomatis harga transportasi juga naik.",,0.0
9806,13488.0,https://twitter.com/haluanharian/status/1567870382442708993,2022-09-08 13:40:03+00:00,1.56787e+18,haluanharian,"Meski Harga BBM Naik, Wako Padang Tidak Naikan Tarif Trans Padang https://t.co/73WHqUDYiV",,1.0
9807,13489.0,https://twitter.com/pradditama/status/1567869942212759554,2022-09-08 13:38:18+00:00,1.56787e+18,pradditama,tidak siap menghadapi realita dunia kalo tarif angkutan umum bakal naik menyusul kenaikan harga bbm 🙈,,0.0
9808,13490.0,https://twitter.com/notyetconfrmed/status/1567869109798604801,2022-09-08 13:35:00+00:00,1.56787e+18,notyetconfrmed,"Waktu liat info kalo harga BBM naik, serasa ada yg nyentil ""emosi"". bawaannya pengen marah2, ditambah lagi pas baca reply org2. Duh, ingin berkata kasar.

Abis itu liat di aplikasi sebelah, ngingetin kalo Allah itu punya sifat Ar-Rozaq, Maha Pemberi Rezeki
...",,0.0
9809,13491.0,https://twitter.com/IswandiMuliadi/status/1567868984967712771,2022-09-08 13:34:30+00:00,1.56787e+18,IswandiMuliadi,"Harga BBM naik, Harga yg lain pun ikutan naik, Tiba-tiba yang turun Nabi Isa.",,0.0
